Produto;Quantidade_Total;Frequencia_Vendas;Nome da Farmácia;EAN;Nome do produto;Status do produto;Preço original;Preço PIX;Desconto PIX;Preço à vista no cartão;Desconto cartão;Subcategoria;Código do produto;URL do produto
Seebri 50mcg 30 Cápsulas;372.0;14;São João;7897851200603.0;Monocordil 50mg 30 Cápsulas;Disponível;93,14;77,19;-17.1%;77,19;-17.1%;Medicamentos > Cardiológicos > Insuficiência Cardíaca;10090302.0;https://www.saojoaofarmacias.com.br/monocordil-50mg-30-capsulas-10090302/p
Desogestrel 75mcg Genérico Novartis 28 Comprimidos Revestidos;372.0;15;São João;7897595636539.0;Desogestrel Genérico Novartis 28 Comprimidos Revestidos;Disponível;24,62;9,90;-59.8%;9,90;-59.8%;Medicamentos > Saúde Da Mulher > Anticoncepcional;10001787.0;https://www.saojoaofarmacias.com.br/desogestrel-generico-novartis-28-comprimidos-revestidos-10001787/p
Jogger 1500+1200mg 30 Envelopes Biosintética;372.0;13;São João;7896004708706.0;Acetilcisteína Genérico EMS 200mg 16 Envelopes;Disponível;45,40;32,99;-27.3%;32,99;-27.3%;Medicamentos > Gripe E Resfriado > Para Tosse;1003230.0;https://www.saojoaofarmacias.com.br/acetilcisteina-generico-ems-200mg-16-envelopes-1003230/p
Lide Nimesulida Betaciclodextrina 400mg 30 Comprimidos Biolab;372.0;12;São João;7896112486787.0;Aradois 50mg 30 Comprimidos Revestidos Biolab;Disponível;56,60;5,80;-89.8%;5,80;-89.8%;Medicamentos > Cardiológicos > Pressão Alta;93786.0;https://www.saojoaofarmacias.com.br/aradois-50mg-30-comprimidos-revestidos-biolab-93786/p
Alopurinol 100mg Genérico Sandoz 30 Comprimidos;372.0;15;São João;7897595622037.0;Alopurinol 300mg 60 Comprimidos Genérico Sandoz;Disponível;55,46;39,90;-28.1%;39,90;-28.1%;Medicamentos > Saúde Óssea;10001708.0;https://www.saojoaofarmacias.com.br/alopurinol-300mg-60-comprimidos-generico-sandoz-10001708/p
Xarope Guaco 150ml G500 Balsâmico Catarinense;372.0;15;São João;7894916372770.0;Xarope Loratadina Genérico EMS 100ml;Disponível;46,40;21,89;-52.8%;21,89;-52.8%;Medicamentos > Alergias E Infecções > Rinite E Sinusite;93599.0;https://www.saojoaofarmacias.com.br/xarope-loratadina-generico-ems-100ml-93599/p
Floral Kids Therapy 30ml Pesadelos;372.0;13;São João;7896658005305.0;Flogoral Spray 30ml Menta Aché;Disponível;42,28;39,19;-7.3%;39,19;-7.3%;Medicamentos > Analgésicos > Dor De Garganta;1074.0;https://www.saojoaofarmacias.com.br/flogoral-spray-30ml-menta-ache-1074/p
Sorinan Science AD 30ml;372.0;14;São João;7898014560176.0;Sorinan Science AD 30ml;Disponível;8,99;7,99;-11.1%;7,99;-11.1%;Medicamentos > Gripe E Resfriado > Desentupir Nariz;6833.0;https://www.saojoaofarmacias.com.br/sorinan-science-ad-30ml-6833/p
Patz SL 5mg 20 Comprimidos Sigma Pharma (B1) Nova Embalagem;372.0;14;São João;7894916501408.0;Indux 50mg 10 Comprimidos Sigma Pharma;Disponível;77,73;64,19;-17.4%;64,19;-17.4%;Medicamentos > Saúde Da Mulher > Ginecológicos;1003205.0;https://www.saojoaofarmacias.com.br/indux-50mg-10-comprimidos-sigma-pharma-1003205/p
Clob-X Creme 0,05% 30g Galderma;372.0;14;São João;7891721022845.0;Flexive CDM Creme Dermatológico 50g;Disponível;93,61;79,59;-15.0%;79,59;-15.0%;Medicamentos > Anti-inflamatórios;10103372.0;https://www.saojoaofarmacias.com.br/flexive-cdm-creme-dermatologico-50g-10103372/p
Dividol 36 Cápsulas Zambon (A1);372.0;12;São João;7896641809026.0;Dexilant 60mg 30 Cápsulas;Disponível;128,20;104,29;-18.7%;104,29;-18.7%;Medicamentos > Estômago E Gastrointestinais > Gastrite E Úlcera;100021383.0;https://www.saojoaofarmacias.com.br/dexilant-60mg-30-capsulas-100021383/p
Imense 100mg 60 Comprimidos Revestidos;372.0;13;São João;7896637022767.0;Donaren 50mg 60 Comprimidos Revestidos;Disponível;61,13;52,09;-14.8%;52,09;-14.8%;Medicamentos > Sistema Nervoso Central > Depressão;5400.0;https://www.saojoaofarmacias.com.br/donaren-50mg-60-comprimidos-revestidos-5400/p
Menelat ODT 45mg 30 Comprimidos Torrent (C1);372.0;13;São João;7891142158130.0;Meticorten 5mg 20 Comprimidos Organon;Disponível;25,88;22,89;-11.6%;22,89;-11.6%;Medicamentos > Cardiológicos > Pressão Alta;1595.0;https://www.saojoaofarmacias.com.br/meticorten-5mg-20-comprimidos-organon-1595/p
Oxycontin 10Mg 28 Comprimidos Mundipharma (A1);372.0;14;São João;7898216360727.0;Secnidazol 1000mg 2 Comprimidos Genérico Pharlab;Disponível;22,94;14,90;-35.0%;14,90;-35.0%;Medicamentos > Antiparasitários;10029975.0;https://www.saojoaofarmacias.com.br/secnidazol-1000mg-2-comprimidos-generico-pharlab-10029975/p
Novalgina Dipirona Dor e Febre Gotas Sanofi 500mg/ml 20ml;372.0;13;São João;7896004718446.0;Solução Oral Dipirona Genérico EMS 500mg 20ml;Disponível;16,59;10,09;-39.2%;10,09;-39.2%;Medicamentos > Analgésicos > Dor E Febre;12356.0;https://www.saojoaofarmacias.com.br/solucao-oral-dipirona-generico-ems-500mg-20ml-12356/p
Tioconazol 20mg/g + Tinidazol 30mg/g Genérico Prati Creme 35g + 7 Aplicadores;372.0;13;São João;7896422506434.0;Clotrimazol Creme Vaginal 20mg/g 20g 3 Aplicadores Genérico Medley;Disponível;74,72;39,99;-46.5%;39,99;-46.5%;Medicamentos > Saúde Da Mulher > Ginecológicos;1001033.0;https://www.saojoaofarmacias.com.br/clotrimazol-creme-vaginal-20mg-g-20g-3-aplicadores-generico-medley-1001033/p
Depo-Provera 150mg Injetável 1ml;372.0;13;São João;7897595604477.0;Lectrum 7,50mg injetável 1,5ml Sandoz;Disponível;2695,94;339,99;-87.4%;339,99;-87.4%;Medicamentos > Medicamentos Especiais;10105553.0;https://www.saojoaofarmacias.com.br/lectrum-7-50mg-injetavel-1-5ml-sandoz-10105553/p
Levolukast 10mg/5mg 7 Comprimidos Revestidos;371.0;14;São João;7896637023658.0;Miosan 5mg 10 Comprimidos Revestidos;Disponível;20,15;20,15;-0.0%;20,15;-0.0%;Medicamentos > Anti-inflamatórios;1006624.0;https://www.saojoaofarmacias.com.br/miosan-5mg-10-comprimidos-revestidos-1006624/p
Alergomine 2mg 20 Comprimidos Revestidos;371.0;18;São João;7896658021688.0;Adipept 20Mg 28 Comprimidos Revestidos Ache;Disponível;60,45;50,49;-16.5%;50,49;-16.5%;Medicamentos > Estômago E Gastrointestinais > Gastrite E Úlcera;100011552.0;https://www.saojoaofarmacias.com.br/adipept-20mg-28-comprimidos-revestidos-ache-100011552/p
Restitue 40Mg 30 Comprimidos;371.0;13;São João;7896637022552.0;Retemic 5mg 30 Comprimidos;Disponível;44,74;39,29;-12.2%;39,29;-12.2%;Medicamentos > Saúde Da Mulher > Ginecológicos;3149.0;https://www.saojoaofarmacias.com.br/retemic-5mg-30-comprimidos-3149/p
Carbonato De Lítio Genérico Biolab 300mg 60 Comprimidos (C1);371.0;13;São João;7896004782768.0;Apixabana 5mg 60 Comprimidos Ems Genérico;Disponível;260,18;119,90;-53.9%;119,90;-53.9%;Medicamentos > Cardiológicos > Pressão Alta;10046572.0;https://www.saojoaofarmacias.com.br/apixabana-5mg-60-comprimidos-ems-generico-10046572/p
Formocaps 12mcg 30 Cápsulas Gelatinosas;371.0;14;São João;7896094920453.0;Macrodantina 100mg 40 Cápsulas Hypermarcas;Disponível;24,26;22,29;-8.1%;22,29;-8.1%;Medicamentos > Alergias E Infecções > Infecção;10023461.0;https://www.saojoaofarmacias.com.br/macrodantina-100mg-40-capsulas-hypermarcas-10023461/p
Venvanse 50mg com 28 Cápsulas (A3);371.0;13;São João;7896641813351.0;Juneve 50mg 28 Cápsulas Takeda (A3);Disponível;449,99;359,99;-20.0%;359,99;-20.0%;Medicamentos > Sistema Nervoso Central > Tdah;10025000.0;https://www.saojoaofarmacias.com.br/juneve-50mg-28-capsulas-takeda--a3--10025000/p
Doxiciclina Genérico Sandoz 100mg 20 Comprimidos;371.0;13;São João;7897595602206.0;Doxiciclina Genérico Sandoz 100mg 20 Comprimidos;Disponível;72,20;39,89;-44.8%;39,89;-44.8%;Medicamentos > Alergias E Infecções > Infecção;96700.0;https://www.saojoaofarmacias.com.br/doxiciclina-generico-sandoz-100mg-20-comprimidos-96700/p
Tramal 50mg/ml Injeção 5x2ml Grünenthal (A2);371.0;14;São João;7891142137135.0;Pratium Mantecorp 140mg/ml 15ml;Disponível;39,51;39,51;-0.0%;39,51;-0.0%;Medicamentos > Analgésicos > Dor E Febre;10101008.0;https://www.saojoaofarmacias.com.br/pratium-mantecorp-140mg-ml-15ml-10101008/p
Ciprofibrato 100mg 60 Comprimidos Genérico Medley;371.0;14;São João;7896523218946.0;Ciprofibrato 100mg 30 Comprimidos Genérico Cimed;Disponível;37,82;21,57;-43.0%;21,57;-43.0%;Medicamentos > Cardiológicos > Colesterol;10035973.0;https://www.saojoaofarmacias.com.br/ciprofibrato-100mg-30-comprimidos-generico-cimed-10035973/p
Doralgina 30mg/300mg/30mg 20 Comprimidos;371.0;13;São João;7896004715032.0;Dorilen 500mg/10mg/5mg 12 Comprimidos;Disponível;21,90;20,59;-6.0%;20,59;-6.0%;Medicamentos > Analgésicos > Dor Muscular;11362.0;https://www.saojoaofarmacias.com.br/dorilen-500mg-10mg-5mg-12-comprimidos-11362/p
Allegra D 60mg/120mg 10 Comprimidos Revestidos;371.0;14;São João;7896658047992.0;Trezete 10+10mg 60 Comprimidos Revestidos Aché;Disponível;168,73;139,09;-17.6%;139,09;-17.6%;Medicamentos > Cardiológicos > Colesterol;10035814.0;https://www.saojoaofarmacias.com.br/trezete-10-10mg-60-comprimidos-revestidos-ache-10035814/p
Solução Oftálmica Acular LS 5ml Allergan;371.0;14;São João;7896006290216.0;Lacrifilm Solução Oftálmica 15ml;Disponível;47,65;40,79;-14.4%;40,79;-14.4%;Medicamentos > Oftalmologia > Colírios;10086048.0;https://www.saojoaofarmacias.com.br/lacrifilm-solucao-oftalmica-15ml-10086048/p
"Budecort Aqua 32Mcg 120 Doses Johnson &amp; Johnson";371.0;14;São João;7896004758268.0;Budesonida Genérico EMS 32mcg 120 Doses;Disponível;30,10;25,89;-14.0%;25,89;-14.0%;Medicamentos > Alergias E Infecções > Rinite E Sinusite;100027119.0;https://www.saojoaofarmacias.com.br/budesonida-generico-ems-32mcg-120-doses-100027119/p
Paxtrat 20mg 30 Comprimidos;371.0;13;São João;7896241293669.0;Vasopril 10mg 30 Comprimidos;Disponível;39,75;29,79;-25.1%;29,79;-25.1%;Medicamentos > Cardiológicos > Pressão Alta;14483.0;https://www.saojoaofarmacias.com.br/vasopril-10mg-30-comprimidos-14483/p
Dulcolax Gotas 7,5mg/ml 30ml;371.0;14;São João;7896658024887.0;Dastene 0,5mg 30 Cápsulas Moles;Disponível;128,97;104,79;-18.7%;104,79;-18.7%;Medicamentos > Saúde Do Homem > Próstata;100013071.0;https://www.saojoaofarmacias.com.br/dastene-0-5mg-30-capsulas-moles-100013071/p
Eno Tônica Pó 100g;371.0;13;São João;7896046302047.0;Liposic Gel Oftálmico 10g;Disponível;56,42;48,49;-14.1%;48,49;-14.1%;Medicamentos > Oftalmologia > Colírios;1005520.0;https://www.saojoaofarmacias.com.br/liposic-gel-oftalmico-10g-1005520/p
Culturelle Probiótico Bebê 6ml Cellera;371.0;13;São João;7891058020286.0;Probiótico Enterogermina Plus 5 frascos de 5ml;Disponível;49,00;39,99;-18.4%;39,99;-18.4%;Medicamentos > Estômago E Gastrointestinais > Diarreia;100014838.0;https://www.saojoaofarmacias.com.br/probiotico-enterogermina-plus-5-frascos-de-5ml-100014838/p
Cronobe Complex 90 Comprimidos Revestidos Biolab;371.0;13;São João;7894916508513.0;Concárdio 5mg 30 Comprimidos Revestidos;Disponível;80,15;80,15;-0.0%;80,15;-0.0%;Medicamentos > Cardiológicos > Pressão Alta;10107466.0;https://www.saojoaofarmacias.com.br/concardio-5mg-30-comprimidos-revestidos-10107466/p
Vagicand 40G+7 Aplicadores Supera;371.0;14;São João;7896226102351.0;Takil Creme Vaginal 35g + 7 Aplicadores Marjan Farma;Disponível;103,71;103,71;-0.0%;103,71;-0.0%;Medicamentos > Antifúngicos;999728.0;https://www.saojoaofarmacias.com.br/takil-creme-vaginal-35g---7-aplicadores-marjan-farma-999728/p
Kelac 10mg 20 Comprimidos Hypera Pharma;371.0;13;São João;7891317455040.0;Domperix 10mg 30 Comprimidos Eurofarma;Disponível;31,03;27,59;-11.1%;27,59;-11.1%;Medicamentos > Estômago E Gastrointestinais > Vômito E Náusea;10102460.0;https://www.saojoaofarmacias.com.br/domperix-10mg-30-comprimidos-eurofarma-10102460/p
Levoxin 500mg 14 Comprimidos Revestidos Apsen;371.0;13;São João;7896637031943.0;Flancox 600mg 14 Comprimidos Revestidos Apsen;Disponível;64,50;56,59;-12.3%;56,59;-12.3%;Medicamentos > Anti-inflamatórios;10031629.0;https://www.saojoaofarmacias.com.br/flancox-600mg-14-comprimidos-revestidos-apsen-10031629/p
Benedesc Plus Sol 120ml Sabor Uva Hypera Pharma;370.0;13;São João;7898133137358.0;Hidraplex Pó 4 Envelopes Sabor Uva Natulab;Disponível;21,90;21,90;-0.0%;21,90;-0.0%;Medicamentos > Estômago E Gastrointestinais;10102161.0;https://www.saojoaofarmacias.com.br/hidraplex-po-4-envelopes-sabor-uva-natulab-10102161/p
Cloridrato De Tetraciclina 500mg Genérico Prati 12 Cápsulas;370.0;13;São João;7898148291373.0;Cloridrato De Tetraciclina 500mg Genérico Prati 12 Cápsulas;Disponível;34,66;29,39;-15.2%;29,39;-15.2%;Medicamentos > Alergias E Infecções > Infecção;10099286.0;https://www.saojoaofarmacias.com.br/cloridrato-de-tetraciclina-500mg-generico-prati-12-capsulas-10099286/p
Brasart HCT 160+12,5mg 90 Comprimidos Revestidos Sigma;370.0;15;São João;7894916510011.0;Bramicar HCT 80mg+12,5mg 30 Comprimidos Sigma Pharma;Disponível;106,25;106,25;-0.0%;106,25;-0.0%;Medicamentos > Cardiológicos > Pressão Alta;10003191.0;https://www.saojoaofarmacias.com.br/bramicar-hct-80mg-12-5mg-30-comprimidos-sigma-pharma-10003191/p
Desogestrel 84 Comprimidos Revestidos Genérico EMS;370.0;14;São João;7896004768687.0;Desogestrel Genérico EMS 84 Comprimidos Revestidos;Disponível;95,25;27,99;-70.6%;27,99;-70.6%;Medicamentos > Saúde Da Mulher > Anticoncepcional;10024123.0;https://www.saojoaofarmacias.com.br/desogestrel-generico-ems-84-comprimidos-revestidos-10024123/p
Iumi 3mg/0,02mg 72 Comprimidos Revestidos;370.0;13;São João;7896094208674.0;Iumi 3mg+0,02mg 72 Comprimidos Revestidos Libbs;Disponível;182,45;127,72;-30.0%;127,72;-30.0%;Medicamentos > Saúde Da Mulher > Anticoncepcional;100010706.0;https://www.saojoaofarmacias.com.br/iumi-3mg-0-02mg-72-comprimidos-revestidos-libbs-100010706/p
Bio Vagin Creme Vaginal Adium 40g com 10 Aplicadores;370.0;12;São João;7896004711423.0;Creme Vaginal Clotrimazol Genérico EMS 10mg/g 35g com 6 Aplicadores;Disponível;63,79;39,59;-37.9%;39,59;-37.9%;Medicamentos > Saúde Da Mulher > Ginecológicos;1005989.0;https://www.saojoaofarmacias.com.br/creme-vaginal-clotrimazol-generico-ems-10mg-g-35g-com-6-aplicadores-1005989/p
Bifilac Geflora 6 Sticks Pó Mantecorp;370.0;14;;;;;;;;;;;;
Pantozol 40mg 28 Comprimidos Takeda;370.0;13;São João;7896004706009.0;Pantoprazol Genérico EMS 40mg 28 Comprimidos;Disponível;51,57;27,90;-45.9%;27,90;-45.9%;Medicamentos > Estômago E Gastrointestinais > Gastrite E Úlcera;1006920.0;https://www.saojoaofarmacias.com.br/pantoprazol-generico-ems-40mg-28-comprimidos-1006920/p
Etodolaco 400mg 20 Comprimidos Revestidos Genérico Germed;370.0;12;São João;7896004743967.0;Esomeprazol 40mg 28 comprimidos revestidos Genérico Germed;Disponível;335,31;89,90;-73.2%;89,90;-73.2%;Medicamentos > Estômago E Gastrointestinais;100003130.0;https://www.saojoaofarmacias.com.br/esomeprazol-40mg-28-comprimidos-revestidos-generico-germed-100003130/p
Naratriptana 2,5mg 10 Comprimidos Genérico Medley;370.0;14;São João;7891058005665.0;Prednisona 20mg 10 Comprimidos Genérico Medley;Disponível;22,13;12,90;-41.7%;12,90;-41.7%;Medicamentos > Alergias E Infecções > Corticoide;10046908.0;https://www.saojoaofarmacias.com.br/prednisona-20mg-10-comprimidos-generico-medley-10046908/p
Wegovy 0,5mg 1,5ml Novo Nordisk;370.0;13;São João;7897705203095.0;Wegovy 1mg 3ml Novo Nordisk;Disponível;1284,04;1284,04;-0.0%;1284,04;-0.0%;Medicamentos > Emagrecer;10040750.0;https://www.saojoaofarmacias.com.br/wegovy-1mg-3ml-novo-nordisk-10040750/p
Pantomix 40mg 28 Comprimidos Ache;370.0;13;São João;7896658000379.0;Famox 20Mg 10 Comprimidos Ache;Disponível;34,57;30,49;-11.8%;30,49;-11.8%;Medicamentos > Estômago E Gastrointestinais > Gastrite E Úlcera;1005.0;https://www.saojoaofarmacias.com.br/famox-20mg-10-comprimidos-ache-1005/p
Naldecon Noite 400mg/20mg/400mg/4mg 24 Comprimidos;370.0;14;São João;7896016806247.0;Naldecon Noite 4 Comprimidos;Disponível;14,80;14,80;-0.0%;14,80;-0.0%;Medicamentos > Gripe E Resfriado;14527.0;https://www.saojoaofarmacias.com.br/naldecon-noite-4-comprimidos-14527/p
Rivastigmina 3mg 30 Cápsulas Genérico Biosintética (C1);370.0;13;São João;7898590870331.0;Isotretinoína 20mg 30 Cápsulas Genérico Althaia  (C2);Disponível;120,55;79,90;-33.7%;79,90;-33.7%;Medicamentos > Pele E Mucosa > Acne E Espinhas;10031203.0;https://www.saojoaofarmacias.com.br/isotretinoina-20mg-30-capsulas-generico-althaia---c2--10031203/p
Libiam Libbs 1,25mg 28 Comprimidos;370.0;13;São João;7896094206366.0;Naprix 5mg 30 Comprimidos Libbs;Disponível;84,02;69,49;-17.3%;69,49;-17.3%;Medicamentos > Cardiológicos > Pressão Alta;13656.0;https://www.saojoaofarmacias.com.br/naprix-5mg-30-comprimidos-libbs-13656/p
Ipratrópio 20ml Genérico EMS;369.0;12;São João;7894916372770.0;Xarope Loratadina Genérico EMS 100ml;Disponível;46,40;21,89;-52.8%;21,89;-52.8%;Medicamentos > Alergias E Infecções > Rinite E Sinusite;93599.0;https://www.saojoaofarmacias.com.br/xarope-loratadina-generico-ems-100ml-93599/p
Aristab 30mg 30 Comprimidos Aché (C1);369.0;14;São João;7896637024358.0;Colchis 0,5mg 30 Comprimidos Apsen;Disponível;83,67;83,67;-0.0%;83,67;-0.0%;Medicamentos > Saúde Óssea > Artrite E Gota;10095842.0;https://www.saojoaofarmacias.com.br/colchis-0-5mg-30-comprimidos-apsen-10095842/p
Gastrogel 153mg/200mg/25mg 20 Comprimidos Mastigáveis;369.0;15;São João;7898158691187.0;Doriless 500mg/5mg/10mg 12 Comprimidos;Disponível;18,54;17,09;-7.8%;17,09;-7.8%;Medicamentos > Analgésicos > Dor Muscular;1002261.0;https://www.saojoaofarmacias.com.br/doriless-500mg-5mg-10mg-12-comprimidos-1002261/p
Brasart 320mg 30 Comprimidos Revestidos Sigma;369.0;15;São João;7891317425869.0;Zart 50mg 30 Comprimidos Revestidos;Disponível;14,53;14,53;-0.0%;14,53;-0.0%;Medicamentos > Cardiológicos > Pressão Alta;10091180.0;https://www.saojoaofarmacias.com.br/zart-50mg-30-comprimidos-revestidos-10091180/p
Dipirona Sódica 500mg Genérico Medley 10 Comprimidos;369.0;14;São João;7896422507059.0;Dipirona 500mg 30 Comprimidos Genérico Medley;Disponível;37,20;19,99;-46.3%;19,99;-46.3%;Medicamentos > Analgésicos > Dor E Febre;10089412.0;https://www.saojoaofarmacias.com.br/dipirona-500mg-30-comprimidos-generico-medley-10089412/p
Venaflon450mg+50mg 60 Comprimidos Revestidos;369.0;13;São João;7894916515764.0;Vynaxa 10mg 30 Comprimidos Revestidos;Disponível;52,75;52,75;-0.0%;52,75;-0.0%;Medicamentos > Sistema Circulatório > Trombose;10027148.0;https://www.saojoaofarmacias.com.br/vynaxa-10mg-30-comprimidos-revestidos-10027148/p
Alcytam 20mg 30 Comprimidos Torrent (C1);369.0;14;São João;7896637023979.0;Donaren 100mg 30 Comprimidos Apsen (C1);Disponível;132,71;132,71;-0.0%;132,71;-0.0%;Medicamentos > Sistema Nervoso Central > Depressão;10096603.0;https://www.saojoaofarmacias.com.br/donaren-100mg-30-comprimidos-apsen--c1--10096603/p
Tropinal 20 Comprimidos Sigma Pharma;369.0;12;São João;7894916516013.0;Toragesic SL 10mg 20 Comprimidos Sigma Pharma;Disponível;39,05;35,99;-7.8%;35,99;-7.8%;Medicamentos > Anti-inflamatórios;10032998.0;https://www.saojoaofarmacias.com.br/toragesic-sl-10mg-20-comprimidos-sigma-pharma-10032998/p
Dimorf 30mg 50 Comprimidos Cristália (A1);369.0;13;São João;7898430195808.0;Piomi 30mg Com 60 Comprimidos Myralis;Disponível;110,12;110,12;-0.0%;110,12;-0.0%;Medicamentos > Diabetes;10048838.0;https://www.saojoaofarmacias.com.br/piomi-30mg-com-60-comprimidos-myralis-10048838/p
Nebivolol 5mg 60 Comprimidos Genérico EMS;369.0;13;São João;7896004754161.0;Metilfenidato Genérico EMS 10mg 60 Comprimidos (A3);Disponível;67,70;38,49;-43.1%;38,49;-43.1%;Medicamentos > Sistema Nervoso Central > Tdah;10001401.0;https://www.saojoaofarmacias.com.br/metilfenidato-generico-ems-10mg-60-comprimidos--a3--10001401/p
Quicard 35mg 60 Comprimidos Revestidos Germed;369.0;14;São João;7896637022767.0;Donaren 50mg 60 Comprimidos Revestidos;Disponível;61,13;52,09;-14.8%;52,09;-14.8%;Medicamentos > Sistema Nervoso Central > Depressão;5400.0;https://www.saojoaofarmacias.com.br/donaren-50mg-60-comprimidos-revestidos-5400/p
Prebictal 75mg 60 Cápsulas Adium (C1);369.0;14;São João;8903855085234.0;Venlift OD 75mg 60 Cápsulas Torrent (C1);Disponível;212,90;170,32;-20.0%;170,32;-20.0%;Medicamentos > Sistema Nervoso Central > Depressão;10048940.0;https://www.saojoaofarmacias.com.br/venlift-od-75mg-60-capsulas-torrent--c1--10048940/p
Mirtax Aché 5mg 30 Comprimidos Revestidos;369.0;13;São João;7896637022835.0;Miosan 5Mg 30 Comprimidos Revestidos Apsen;Disponível;62,81;33,90;-46.0%;33,90;-46.0%;Medicamentos > Anti-inflamatórios;79631.0;https://www.saojoaofarmacias.com.br/miosan-5mg-30-comprimidos-revestidos-apsen-79631/p
Vick Primeira Proteção Procter Spray Nasal 15ml;369.0;13;São João;7896083400935.0;Rinospray Spray Nasal 100ml;Disponível;64,40;51,52;-20.0%;51,52;-20.0%;Medicamentos > Gripe E Resfriado > Desentupir Nariz;100005071.0;https://www.saojoaofarmacias.com.br/rinospray-spray-nasal-100ml-100005071/p
Passiflorine Pi 500mg 20 Comprimidos Revestidos Biochimico;369.0;13;São João;7896181922711.0;Desloratadina 5mg 10 Comprimidos Revestidos Genérico Biosintética;Disponível;65,29;26,09;-60.0%;26,09;-60.0%;Medicamentos > Alergias E Infecções > Antialérgicos;100008907.0;https://www.saojoaofarmacias.com.br/desloratadina-5mg-10-comprimidos-revestidos-generico-biosintetica-100008907/p
Micardis Anlo Telmisartana 40mg + Besilato De Anlodipino 5mg Boehringer Com 30 Comprimidos;369.0;15;São João;7896004775371.0;Olmy Anlo Olmesartana Medoxomila 40mg + Besilato de Anlodipino 5mg 30 Comprimidos Germed;Disponível;63,70;63,70;-0.0%;63,70;-0.0%;Medicamentos > Cardiológicos > Pressão Alta;10026268.0;https://www.saojoaofarmacias.com.br/olmy-anlo-olmesartana-medoxomila-40mg---besilato-de-anlodipino-5mg-30-comprimidos-germed-10026268/p
Alta D 2000UI 30 Cápsulas Eurofarma;369.0;12;São João;7896253902146.0;Creon 25000 30 Cápsulas Abbott;Disponível;178,95;143,16;-20.0%;143,16;-20.0%;Medicamentos > Estômago E Gastrointestinais > Má Digestão;1003849.0;https://www.saojoaofarmacias.com.br/creon-25000-30-capsulas-abbott-1003849/p
Buona 150mg 30 Cápsulas;369.0;17;São João;7896255717717.0;Teolong 100mg 30 Cápsulas Abbott;Disponível;25,73;22,89;-11.0%;22,89;-11.0%;Medicamentos > Alergias E Infecções > Bombinha Para Asma E Bronquite;1884.0;https://www.saojoaofarmacias.com.br/teolong-100mg-30-capsulas-abbott-1884/p
Clopixol Depot 200mg 1ml Lundbeck (C1);369.0;14;São João;7896004715032.0;Dorilen 500mg/10mg/5mg 12 Comprimidos;Disponível;21,90;20,59;-6.0%;20,59;-6.0%;Medicamentos > Analgésicos > Dor Muscular;11362.0;https://www.saojoaofarmacias.com.br/dorilen-500mg-10mg-5mg-12-comprimidos-11362/p
Andes 100mg 60 Comprimidos Revestidos Supera (C1);369.0;13;São João;7891158103384.0;Revoc 100mg 60 Comprimidos Revestidos Abbott (C1);Disponível;431,23;431,23;-0.0%;431,23;-0.0%;Medicamentos > Sistema Nervoso Central > Depressão;100020350.0;https://www.saojoaofarmacias.com.br/revoc-100mg-60-comprimidos-revestidos-abbott--c1--100020350/p
Jardiance Duo 12,5+1000mg 60 comprimidos Boehringer;369.0;13;São João;7896004715032.0;Dorilen 500mg/10mg/5mg 12 Comprimidos;Disponível;21,90;20,59;-6.0%;20,59;-6.0%;Medicamentos > Analgésicos > Dor Muscular;11362.0;https://www.saojoaofarmacias.com.br/dorilen-500mg-10mg-5mg-12-comprimidos-11362/p
Ibuprofeno 50mg/ml Solução Oral Genérico Geolab 30ml;369.0;15;São João;7896523227566.0;Ibuprofeno 100mg Solução Oral 20ml Genérico Cimed;Disponível;22,19;6,49;-70.8%;6,49;-70.8%;Medicamentos > Analgésicos > Dor E Febre;10035352.0;https://www.saojoaofarmacias.com.br/ibuprofeno-100mg-solucao-oral-20ml-generico-cimed-10035352/p
Bart H 300+12,5mg 30 Comprimidos Momenta;369.0;13;São João;7894916510004.0;Bramicar HCT 40mg+12,5mg 30 Comprimidos Sigma Pharma;Disponível;106,25;106,25;-0.0%;106,25;-0.0%;Medicamentos > Cardiológicos > Pressão Alta;10003190.0;https://www.saojoaofarmacias.com.br/bramicar-hct-40mg-12-5mg-30-comprimidos-sigma-pharma-10003190/p
Wegovy 1,7mg 3ml Novo Nordisk;369.0;12;São João;7897705203101.0;Wegovy 1,7mg 3ml Novo Nordisk;Disponível;1923,36;1923,36;-0.0%;1923,36;-0.0%;Medicamentos > Emagrecer;10040801.0;https://www.saojoaofarmacias.com.br/wegovy-1-7mg-3ml-novo-nordisk-10040801/p
Dropropizina 3mg 120ml Adulto Genérico Biosintética;369.0;14;São João;7896181906582.0;Furosemida 40mg 30 Comprimidos Genérico Biosintética;Disponível;23,78;7,43;-68.8%;7,43;-68.8%;Medicamentos > Cardiológicos > Pressão Alta;94442.0;https://www.saojoaofarmacias.com.br/furosemida-40mg-30-comprimidos-generico-biosintetica-94442/p
Rybelsus 14mg 30 Comprimidos;369.0;13;São João;7897705202753.0;Rybelsus 14mg 30 Comprimidos Novo Nordisk;Disponível;1277,92;1277,92;-0.0%;1277,92;-0.0%;Medicamentos > Diabetes;10030119.0;https://www.saojoaofarmacias.com.br/rybelsus-14mg-30-comprimidos-novo-nordisk-10030119/p
